SN,B19483200-24,DP1DTK2LA
OFFSET,0,0,10,5,0,0,0,10 
1,1,1,0.0,175.0,2,1,12,-0.06369925333534118,175.55347709092055

1,1,1,0.0,180.0,2,1,13,0.05209826705076176,179.98039672675299

1,1,1,0.0,185.0,2,1,14,0.13397761217832416,184.9713482393437

1,1,1,0.0,190.0,2,1,15,0.10118086699512753,190.38837597739817

1,1,1,0.0,195.0,2,1,15,0.10118086699512753,190.38837597739817

1,1,1,0.0,200.0,1,4,16,0.19733497447678147,202.31461969169067

1,1,1,0.0,205.0,2,1,16,-0.04692761284742031,203.33638741295388

1,1,1,0.0,210.0,0,4,17,-0.25799663375175885,214.98562252612254

1,1,1,0.0,215.0,2,1,17,0.11609751487345485,215.79932841013948

1,1,1,0.0,220.0,0,4,18,-0.08489447317498186,219.3685311608877

1,1,1,0.0,225.0,0,4,20,0.07313845971004854,226.136282261425

1,1,1,0.0,230.0,1,1,21,0.09127862737423342,232.0667514179421

1,1,1,0.0,235.0,1,1,22,0.1488657215378691,235.21349142063235

1,1,1,0.0,240.0,1,1,23,0.2303693564805972,238.9610467368048

1,1,1,0.0,245.0,0,1,25,-0.25551853203266256,246.00785945391584

1,1,1,0.0,250.0,0,1,26,-0.15988111148644488,249.74242697197047

1,1,1,0.0,255.0,0,1,27,-0.08578737598725425,253.03941520202892

1,1,1,0.0,260.0,0,1,29,-0.20103077896347246,260.16941981073194

1,1,1,0.0,265.0,1,1,31,0.21476085393459265,265.89283093979867

1,1,1,0.0,270.0,0,1,31,-0.3444450142501966,266.1133351115469

1,1,1,0.0,275.0,0,7,32,0.11051130488511166,283.9187306971857

1,1,1,0.0,280.0,0,7,32,0.11051130488511166,283.9187306971857

1,1,1,0.0,285.0,1,4,32,-0.05178707958950232,285.01700690832615

1,1,1,0.0,290.0,3,1,32,0.30236648390257714,285.6679367782241

1,1,1,0.0,295.0,0,10,33,0.6944923845529409,303.0388901444015

1,1,1,0.0,300.0,0,7,33,-0.08225872758698981,303.9584817646203

1,1,1,0.0,305.0,3,1,33,0.10627447729275526,305.5814255655325

1,1,1,0.0,310.0,0,7,35,-0.02025304350829235,310.8429697804846

1,1,1,0.0,315.0,0,7,36,-0.07914336662133399,314.1639850217074
